Area,Soil type,#,Depth,Stage,"𝜎 ,𝑛",𝑢 −𝑢 𝑎 𝑤,"𝜎 , 𝑎",,S
,,,m,,kPa,kPa,kPa,⁄𝑐 3,
Sheet pile,ML,ST-81,2.4-3.0,1st,20.7,96.5,150.1,1.24,0.42
,,,,2nd,20.7,117.2,163.6,1.25,0.39
,,,,3rd,41.4,117.2,199.6,1.26,0.39
,,,,4th,62.1,117.2,236.9,1.26,0.39
,,ST-30,4.9-5.5,1st,48.3,6.9,133.6,1.40,0.84
,,,,2nd,48.3,48.3,196.2,1.40,0.70
,,,,3rd,96.5,48.3,311.9,1.41,0.71
,,ST-83,5.5-6.1,1st,41.4,75.8,161.7,1.43,0.49
,,,,2nd,41.4,103.4,190.9,1.43,0.44
,,,,3rd,41.4,124.1,217.4,1.43,0.41
,,ST-74,6.3-6.9,1st,62.1,55.2,272.0,1.73,0.71
,,,,2nd,62.1,82.7,321.7,1.73,0.69
,,ST-87,11.5-12.0,1st,117.2,20.7,318.0,1.55,0.89
,,,,2nd,117.2,55.2,388.2,1.55,0.67
,,,,3rd,117.2,75.8,443.3,1.56,0.62
,,ST-34A,13.5-14.1,1st,89.6,6.9,253.3,1.56,0.81
,,,,2nd,89.6,27.6,316.1,1.56,0.80
,,,,3rd,89.6,55.2,351.2,1.56,0.73
,,ST-34B,13.5-14.1,1st,44.8,6.9,173.4,1.54,0.78
,,,,2nd,89.6,6.9,254.0,1.57,0.77
,,,,3rd,89.6,27.6,288.9,1.57,0.75
,,ST-79A,14.1-14.7,1st,89.6,27.6,319.5,1.71,0.82
,,,,2nd,62.1,56.2,357.2,1.71,0.77
,,,,3rd,62.1,82.7,383.5,1.72,0.71
,,ST-79B,14.1-14.7,1st,144.8,13.8,288.6,1.63,0.90
,,,,2nd,144.8,41.4,374.9,1.64,0.83
,,,,3rd,131.0,89.6,469.1,1.64,0.63
,,ST-80A,15.0-15.5,1st,144.8,27.6,409.1,1.66,0.87
,,,,2nd,144.8,69.0,500.6,1.68,0.65
,,,,3rd,144.8,96.5,550.9,1.68,0.56
,,ST-80B,15.0-15.5,1st,69.0,6.9,234.3,1.66,0.89
,,,,2nd,124.1,6.9,297.9,1.66,0.89
,,,,3rd,124.1,55.2,389.9,1.67,0.72
,,,,4th,165.5,55.2,468.8,1.68,0.72
,,,,,,,,,
