soil_type,test_type,ua_minus_uw_kPa,net_confining_kPa,stress_col_1_kPa,stress_col_2_kPa,E_0p1_MPa,E50_MPa,reach_failure
MH,AC,27.6,68.9,91.1,191.5,9.7,6.7,Y
MH,LE,27.6,68.9,91.1,72.3,32.6,22.9,N
MH,LE,27.6,82.7,104.8,86.1,47.4,51.8,N
MH,AC,62.0,41.3,86.5,196.4,15.3,9.9,Y
MH,LE,62.0,41.3,86.5,68.9,32.8,39.0,N
MH,LE,62.0,82.7,127.9,96.5,43.9,35.5,N
MH,AC,62.0,137.8,183.0,352.8,15.6,8.8,Y
MH,LE,62.0,137.8,183.0,134.4,46.5,40.1,N
MH,AC,89.6,82.7,138.4,297.0,14.2,8.6,Y
MH,LE,89.6,82.7,138.4,103.4,34.5,25.0,N
MH,LE,89.6,137.8,139.4,141.2,65.4,62.0,N
MH,AC,124.0,82.7,154.7,333.5,27.3,18.0,Y
MH,LE,124.0,82.7,154.7,110.2,63.2,72.7,N
SC,LE,10.3,82.7,90.4,72.3,24.0,19.1,Y
SC,AC,10.3,137.8,145.6,392.0,12.8,7.2,Y
SC,LE,10.3,137.8,145.6,117.1,22.4,15.3,Y
SC,LE,20.7,137.8,151.5,124.0,57.3,48.9,Y
SC,AC,55.1,82.7,114.3,336.2,18.0,10.4,Y
SC,LE,55.1,82.7,114.3,86.1,34.5,28.1,N
SC,LE,55.1,137.8,169.5,124.0,49.8,41.3,Y
SC,AC,103.4,82.7,137.2,385.2,14.6,9.4,Y
SC,LE,103.4,82.7,137.2,103.4,47.1,40.8,N
